text	word	count	tf
Burke.1790.Reflections on the Revolution of France.txt	feelingly	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	bosom	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	heartward	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	maudlin	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	emotionalism	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	maudlinly	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	mawkishly	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	zealous	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	blushing	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	passionateness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	master-passion	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	passioning	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ebullition	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ecstasy	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	roiled	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	pathetic	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	full-hearted	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	passioned	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	passionable	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	vehement	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	hot-blooded	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	passionful	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	vehemently	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	pathetically	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impassionately	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impassion	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	fervour	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ardor	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ardour	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ardurous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	fervent	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	fervency	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	fervently	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	fervid	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	fervidly	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	perfervor	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	perfervour	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ardent	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ardently	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	burningly	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	enkindle	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	dispassion	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	dispassionate	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	dispassionately	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	unsentimental	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	unsentimentality	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	dispassionateness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	passionlessness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impassive	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impassiveness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	insensibility	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	unfeeling	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	unfeelingness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	detachment	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	frigidity	0	0.0
